City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,New Norfolk,AU,62.01,light rain,-42.78,147.06,The Shingles Riverside Cottages
27,Port Alfred,ZA,69.08,overcast clouds,-33.59,26.89,The Halyards Hotel
29,Mount Gambier,AU,59.0,broken clouds,-37.83,140.77,Commodore on the Park
41,Hobart,AU,62.01,light rain,-42.88,147.33,St Ives Hobart Accommodation Tasmania
43,Codrington,AU,65.88,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
44,Broken Hill,AU,73.4,broken clouds,-31.95,141.43,Daydream Motel & Cottages
50,Kruisfontein,ZA,66.99,overcast clouds,-34.0,24.73,Oyster Bay House Rental
58,Naze,JP,68.0,light intensity shower rain,28.37,129.48,奄美ポートタワーホテル
67,Hermanus,ZA,70.0,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
68,Ixtapa,MX,71.01,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
72,Pisco,PE,64.4,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
77,Bredasdorp,ZA,69.8,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
80,Ayolas,PY,65.01,clear sky,-27.4,-56.9,Hotel Ayolas
82,Jacareacanga,BR,73.4,overcast clouds,-6.22,-57.75,Casa do Ian😎
85,Nouakchott,MR,68.0,clear sky,18.09,-15.98,Hôtel Iman
86,Cidreira,BR,65.98,broken clouds,-30.18,-50.21,Hotel Castelo
94,Aswan,EG,69.93,broken clouds,24.09,32.91,Nuba Nile
99,Kaniama,CD,69.49,overcast clouds,-7.57,24.18,
103,Cape Town,ZA,73.4,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
108,Meulaboh,ID,73.76,overcast clouds,4.14,96.13,Kost Pria
115,Saldanha,ZA,73.4,clear sky,-33.01,17.94,Blue Bay Lodge
117,Taoudenni,ML,63.23,overcast clouds,22.68,-3.98,
125,San Cristobal,VE,62.4,clear sky,7.77,-72.22,Pirineos
129,Kharan,PK,63.57,clear sky,28.58,65.42,Ghani Hasrat House
132,Saint-Louis,SN,69.8,clear sky,16.33,-15.0,
134,Rio Grande,BR,57.99,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
