City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
Srednekolymsk,67.45,153.68,-26.46,86,54,1.34,broken clouds,RU
Aklavik,68.22,-135.01,-0.4,84,5,2.24,clear sky,CA
Weiz,47.22,15.62,34.0,99,100,3.51,overcast clouds,AT
College,64.86,-147.8,-7.01,84,100,1.3,overcast clouds,US
Albany,42.6,-73.97,41.0,63,100,3.13,overcast clouds,US
Dzhebariki-Khaya,62.22,135.8,-8.19,90,100,3.27,overcast clouds,RU
New Norfolk,-42.78,147.06,62.01,71,100,1.01,light rain,AU
Kemi,65.86,24.82,32.0,97,90,5.82,overcast clouds,FI
Tuktoyaktuk,69.45,-133.04,-5.8,83,5,6.93,clear sky,CA
Chokurdakh,70.63,147.92,-28.48,86,100,4.61,overcast clouds,RU
Robertsport,6.75,-11.37,78.84,79,75,3.96,broken clouds,LR
Chuy,-33.7,-53.46,50.58,75,39,6.49,scattered clouds,UY
Trorod,55.84,12.54,43.0,88,100,1.01,overcast clouds,DK
Kodiak,57.79,-152.41,14.0,78,1,5.82,clear sky,US
Lasa,46.62,10.7,28.4,92,90,6.93,snow,IT
Bluff,-46.6,168.33,54.0,74,35,17.0,scattered clouds,NZ
Avarua,-21.21,-159.78,78.8,83,0,5.82,clear sky,CK
Lompoc,34.64,-120.46,48.2,70,1,6.93,clear sky,US
Arraial Do Cabo,-22.97,-42.03,75.56,93,2,12.68,clear sky,BR
Bengkulu,-3.8,102.27,85.28,62,100,6.62,overcast clouds,ID
Ulaanbaatar,47.91,106.88,-7.6,76,0,2.24,clear sky,MN
Barrow,71.29,-156.79,8.6,78,90,19.46,light snow,US
Rikitea,-23.12,-134.97,77.31,77,0,11.77,clear sky,PF
Bethel,41.37,-73.41,42.8,93,90,1.03,light rain,US
Hilo,19.73,-155.09,75.2,83,75,5.82,broken clouds,US
Bathsheba,13.22,-59.52,77.0,88,20,14.99,shower rain,BB
Mataura,-46.19,168.86,54.0,74,30,17.0,scattered clouds,NZ
Port Alfred,-33.59,26.89,69.08,67,99,22.44,overcast clouds,ZA
Yellowknife,62.46,-114.35,21.99,100,90,4.7,overcast clouds,CA
Mount Gambier,-37.83,140.77,59.0,82,75,19.46,broken clouds,AU
Ryotsu,38.08,138.43,46.4,93,75,13.87,broken clouds,JP
Baruun-Urt,46.68,113.28,5.56,89,0,13.53,clear sky,MN
Chara,56.91,118.26,0.03,80,0,2.86,clear sky,RU
Punta Arenas,-53.15,-70.92,50.0,76,100,18.34,overcast clouds,CL
Olafsvik,64.89,-23.71,23.29,87,100,5.66,overcast clouds,IS
Okitipupa,6.5,4.78,76.66,93,22,1.86,light rain,NG
Hithadhoo,-0.6,73.08,82.42,79,0,20.47,light rain,MV
Bilibino,68.05,166.44,-9.22,82,81,2.77,broken clouds,RU
Petrivka,46.97,30.96,39.0,100,90,11.18,overcast clouds,UA
Touros,-5.2,-35.46,77.0,88,20,6.93,few clouds,BR
Busselton,-33.65,115.33,79.0,30,0,17.2,clear sky,AU
Hobart,-42.88,147.33,62.01,72,75,6.93,light rain,AU
Saskylakh,71.92,114.08,-0.26,91,100,12.71,overcast clouds,RU
Codrington,-38.27,141.97,65.88,56,0,20.96,clear sky,AU
Broken Hill,-31.95,141.43,73.4,69,75,16.11,broken clouds,AU
