City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2020-12-02 01:56:18,-33.93,18.42,61.0,62,20,13.87
1,Kununurra,AU,2020-12-02 01:58:15,-15.77,128.73,86.0,66,98,4.7
2,Ushuaia,AR,2020-12-02 01:57:40,-54.8,-68.3,37.4,94,40,17.22
3,Tasiilaq,GL,2020-12-02 01:58:16,65.61,-37.64,19.4,57,100,18.34
4,Qaanaaq,GL,2020-12-02 01:58:16,77.48,-69.36,-0.76,88,100,8.66
5,Khatanga,RU,2020-12-02 01:58:16,71.97,102.5,28.56,99,100,21.59
6,Cidreira,BR,2020-12-02 01:58:16,-30.18,-50.21,69.85,82,69,18.79
7,Saskylakh,RU,2020-12-02 01:58:16,71.92,114.08,13.33,96,97,5.84
8,Cabo San Lucas,MX,2020-12-02 01:58:16,22.89,-109.91,71.6,60,5,8.05
9,Busselton,AU,2020-12-02 01:58:16,-33.65,115.33,67.64,45,0,1.59
10,Kapaa,US,2020-12-02 01:58:16,22.08,-159.32,80.6,69,90,8.05
11,Sorland,NO,2020-12-02 01:58:16,67.67,12.69,38.98,90,100,44.83
12,Chapais,CA,2020-12-02 01:58:16,49.78,-74.85,28.4,92,90,19.46
13,Tepelene,AL,2020-12-02 01:58:16,40.3,20.02,46.99,92,37,1.99
14,Hobart,AU,2020-12-02 01:53:59,-42.88,147.33,62.6,33,40,23.04
15,Matadi,CD,2020-12-02 01:58:16,-5.82,13.45,77.76,87,100,3.36
16,Rikitea,PF,2020-12-02 01:58:17,-23.12,-134.97,75.81,65,65,4.5
17,Geraldton,AU,2020-12-02 01:58:17,-28.77,114.6,78.8,22,0,10.29
18,Ust-Maya,RU,2020-12-02 01:58:17,60.42,134.53,-2.69,92,100,2.84
19,Punta Arenas,CL,2020-12-02 01:57:49,-53.15,-70.92,39.2,78,75,20.8
20,Mataura,NZ,2020-12-02 01:58:17,-46.19,168.86,57.99,56,100,14.0
21,Hermanus,ZA,2020-12-02 01:58:17,-34.42,19.23,57.0,65,70,5.01
22,Hamilton,US,2020-12-02 01:54:23,39.18,-84.53,32.0,74,19,1.99
23,East London,ZA,2020-12-02 01:55:55,-33.02,27.91,62.1,65,96,19.35
24,Mlonggo,ID,2020-12-02 01:58:17,-6.53,110.7,84.2,74,20,8.05
25,Valleyview,CA,2020-12-02 01:58:17,55.07,-117.29,37.4,47,8,14.99
26,Port Elizabeth,ZA,2020-12-02 01:58:17,-33.92,25.57,59.0,82,90,3.36
27,Klaksvik,FO,2020-12-02 01:58:17,62.23,-6.59,39.2,86,54,20.8
28,Hasaki,JP,2020-12-02 01:58:17,35.73,140.83,48.2,93,75,10.29
29,Cururupu,BR,2020-12-02 01:58:18,-1.83,-44.87,76.06,92,96,3.29
30,Vaini,TO,2020-12-02 01:58:18,-21.2,-175.2,82.4,74,75,10.29
31,Bundaberg,AU,2020-12-02 01:58:18,-24.85,152.35,87.01,62,90,10.29
32,Palu,ID,2020-12-02 01:58:18,-0.89,119.87,85.26,64,25,4.92
33,Coatzintla,MX,2020-12-02 01:58:18,20.48,-97.45,60.8,82,90,4.7
34,Thompson,CA,2020-12-02 01:58:18,55.74,-97.86,19.4,92,90,3.36
35,Hilo,US,2020-12-02 01:58:18,19.73,-155.09,80.6,57,20,9.17
36,Talnakh,RU,2020-12-02 01:58:18,69.49,88.4,24.8,100,90,24.61
37,Port Hedland,AU,2020-12-02 01:58:18,-20.32,118.57,98.6,32,6,12.75
38,San Cristobal,VE,2020-12-02 01:58:18,7.77,-72.22,66.22,91,100,2.26
39,Bethel,US,2020-12-02 01:58:18,41.37,-73.41,39.99,55,90,19.46
40,Dingle,PH,2020-12-02 01:58:19,11.0,122.67,83.41,80,100,10.96
41,Asau,RO,2020-12-02 01:58:19,46.43,26.4,28.4,92,26,3.36
42,Cubuk,TR,2020-12-02 01:58:19,40.24,33.03,39.99,100,75,1.48
43,Matara,LK,2020-12-02 01:58:19,5.95,80.54,76.44,88,100,10.47
44,Byron Bay,AU,2020-12-02 01:58:19,-28.65,153.62,89.6,66,40,19.46
45,Upernavik,GL,2020-12-02 01:58:19,72.79,-56.15,11.34,94,100,11.1
46,Half Moon Bay,US,2020-12-02 01:58:19,37.46,-122.43,57.0,66,20,13.87
47,Arraial Do Cabo,BR,2020-12-02 01:58:19,-22.97,-42.03,77.0,94,0,1.12
48,Albany,US,2020-12-02 01:58:19,42.6,-73.97,41.0,52,32,1.01
49,Ballia,IN,2020-12-02 01:58:19,25.76,84.15,61.97,41,0,4.85
50,Saint-Pierre,RE,2020-12-02 01:58:19,-21.34,55.48,77.0,78,90,2.24
51,Aberdeen,GB,2020-12-02 01:53:30,57.14,-2.1,30.2,100,48,1.12
52,Ambon,ID,2020-12-02 01:58:19,-3.7,128.18,93.2,59,20,5.82
53,Carnarvon,AU,2020-12-02 01:58:20,-24.87,113.63,80.6,32,0,14.99
54,Matanzas,CU,2020-12-02 01:58:20,23.04,-81.58,62.6,82,20,6.93
55,Ust-Kuyga,RU,2020-12-02 01:58:20,70.02,135.6,-5.73,90,100,8.39
56,Coihaique,CL,2020-12-02 01:58:20,-45.58,-72.07,48.2,84,13,10.29
57,Concordia,AR,2020-12-02 01:54:41,-31.39,-58.02,79.0,56,4,8.01
58,Luderitz,NA,2020-12-02 01:58:20,-26.65,15.16,64.4,55,0,13.87
59,Yazd,IR,2020-12-02 01:58:20,31.9,54.37,47.25,75,5,0.58
